ID,Label,Entity Text
1,MER,足太阳膀胱经
2,MER,足少阴肾经
3,MER,少阳
4,LIT,素问·阴阳类论
5,LIT,素问·经脉别论
6,LIT,素问·阴阳离合论
7,MER,厥阴
8,LIT,素问·天元纪大论
9,LIT,灵枢·卫气行
10,ACU,睛明穴
11,MER,肾经
12,LIT,伤寒论·辨太阳病脉证并治
13,LIT,灵枢·五十营
14,LIT,四川中药志
15,MED,水八角
16,MED,一口血
17,MED,草血竭
18,LIT,洁古家珍
19,PRE,一上散
20,MED,生半夏
21,MED,雄黄
22,MED,巴豆
23,DIS,蝎鳌痛
24,LIT,兰室秘藏·疮疡门
25,MED,狗脊
26,MED,蛇床子
27,MED,硫黄
28,MED,斑鳌
29,DIS,疥疮
30,LIT,丹溪心法
31,MED,寒水石
32,MED,白胶香
33,MED,黄连
34,MED,枯矾
35,MED,吴茱萸
36,LIT,证治准绳·疡医
37,MED,苦参
38,MED,白芷
39,MED,火硝
40,MED,白岌
41,MED,荆芥穗
42,MED,锻寒水石
43,LIT,古今医鉴
44,MED,枯白矾
45,MED,信石
46,MED,花椒
47,MED,五倍子
48,MED,地不容
49,MED,一文钱
50,LIT,云南中草药
51,MED,一见消
52,MED,白花丹
53,LIT,海南岛常用中草药手册
54,MED,一见喜
55,MED,一匹绸
56,MED,一支箭
57,SYN,一片被
58,MED,穿心莲
59,LIT,泉州本草
60,MED,白鹤藤
61,LIT,贵州民间方药集
62,MED,瓶尔小草
63,LIT,延龄堂喉科
64,MED,千年健
65,MED,一包针
66,LIT,中药志
67,MED,金盏银盘
68,LIT,常用中草药手册
69,LIT,上海常用中草药
70,MED,狼把草
71,MED,一叶荻
72,LIT,浙江夭目山药用植物志
73,MED,花扫条
74,MED,山帚条
75,MED,小粒篙
76,MED,八颗叶下珠
77,SYM,四肢麻木
78,DIS,偏瘫
79,DIS,面神经麻痹
80,DIS,小儿麻痹后遗症
81,DIS,风湿腰痛
82,SYM,眩晕
83,DIS,耳聋
84,DIS,阳赓
85,DIS,嗜睡症
86,PRE,一甲煎
87,LIT,温病条辨
88,MED,生牡砺
89,SYN,温病下后
90,SYN,大便澹甚
91,MED,一朵云
92,MED,阴地旅
93,LIT,天宝本草
94,MED,一扫光
95,LIT,分类草药性
96,MED,干里光
97,MED,一帆青
98,LIT,质问本草
99,MED,蜘蛛抱蛋
100,PRE,一字散
101,LIT,杨氏家藏方
102,MED,乳香
103,MED,延胡索
104,MED,盆硝
105,MED,川芍
106,DIS,偏头风
107,MED,蝎梢
108,MED,猪牙皂角
109,MED,白矾
110,MED,菊芦
111,DIS,喉痹
112,DIS,气塞不通欲死
113,MED,一年蓬
114,MED,野篙
115,LIT,浙江民间常用草药
116,DIS,疟草
117,DIS,牙肿消
118,DIS,急性胃肠炎
119,DIS,急性传染性肝炎
120,DIS,淋巴结炎
121,DIS,血尿
122,DIS,疟疾
123,DIS,齿跟炎
124,DIS,毒虫鳌伤
125,PRE,一阴煎
126,LIT,景岳全书·新方八阵
127,MED,生地黄
128,MED,芍药
129,MED,麦门冬
130,MED,丹参
131,MED,熟地黄
132,MED,牛膝
133,MED,甘草
134,SYN,肾水真阴虚损
135,SIG,脉证多阳
136,SYM,虚火发热
137,DIS,阴虚动血
138,SYM,烦渴不止
139,SYM,潮热不退
140,SIG,脉虚气弱
141,MED,龟板胶
142,MED,人参
143,DIS,气虚
144,SYM,心虚不眠多汗
145,MED,酸枣仁
146,MED,当归
147,SYM,汗多烦躁
148,MED,五味子
149,MED,山药
150,MED,山茱萸
151,MED,女贞子
152,SYN,虚火上浮
153,SYM,吐血
154,SYM,蛆血不止
155,MED,泽泻
156,MED,茜草根
157,MED,续断
158,MED,一块瓦
159,LIT,广西实用中草药新选
160,MED,金耳环
161,MED,一把伞
162,MED,八角莲
163,LIT,广西中药志
164,LIT,贵州民间药物
165,MED,兔儿伞
166,MED,一把针
167,MED,鬼针草
168,LIT,浙江民间草药
169,MED,金线草
170,LIT,草药手册
171,MED,一串红
172,MED,一串钱
173,MED,大金钱草
174,LIT,民间常用草药汇编
175,MED,连钱草
176,MED,一条根
177,MED,干斤拔
178,LIT,江西中医药
179,PRE,一赤散
180,MED,大黄
181,MED,赤石脂
182,MED,锻石膏
183,SYN,伤损敷药后起泡
184,PRE,一器丹
185,MED,制附子
186,SYN,脾肾虚寒
187,SYM,不时易泻
188,SYM,腹痛
189,DIS,阳萎
190,DIS,怯寒
191,PRE,一抹金
192,LIT,活幼心书
193,MED,黎芦
194,MED,红丹参
195,MED,明矾
196,MED,黄柏
197,MED,轻粉
198,SYN,遍身生疮
199,SYM,溃烂
200,SYN,燥痛
201,SYN,脓汁不干
202,PRE,一抹散
203,MED,生天南星
204,MED,生草乌
205,DIS,干癣不愈
206,MED,一枝香
207,LIT,植物名实图考
208,MED,毛大丁草
209,MED,徐长卿
210,MED,一枝旗
211,MED,普草
212,LIT,中国药用植物志
213,LIT,本草纲目拾遗
214,MED,一枝箭
215,MED,铁棒锤
216,LIT,药学学报
217,MED,一味药
218,MED,马棘
219,MED,一杯倒
220,MED,羊哪镯根
221,LIT,广西中草药
222,PRE,一奇散
223,LIT,证治准绳·女科
224,DIS,产后头痛
225,PRE,一服散
226,LIT,朱氏集验方
227,MED,半夏
228,MED,杏仁
229,MED,婴粟壳
230,MED,乌梅
231,MED,阿胶
232,MED,生姜
233,MED,苏叶
234,DIS,天行嗽
235,SYM,痰盛寒热
236,SYM,鼻声重
237,LIT,陕西中草药
238,MED,洋蓍草
239,MED,一点血
240,MED,红砖草
241,DIS,病后虚弱
242,SYM,白带
243,SYM,咳嗽咯血
244,DIS,功能性子宫出血
245,MED,通城虎
246,MED,一点红
247,LIT,南宁市药物志
248,MED,紫背草
249,MED,羊蹄草
250,MED,红背叶
251,MED,叶下红
252,DIS,咽喉肿痛
253,DIS,口腔溃疡
254,DIS,目赤肿痛
255,DIS,湿热泻痢
256,DIS,热淋
257,DIS,上呼吸道感染
258,DIS,肺炎
259,DIS,乳痈
260,DIS,疗疮
261,DIS,带状疙疹
262,DIS,湿疹
263,DIS,漆过敏
264,DIS,过敏性皮炎
265,PRE,一点雪
266,SYM,喉闭喉肿
267,PRE,一厘金
268,LIT,北京市中药成方选集
269,LIT,传信适用方
270,MED,琥珀
271,MED,天竺
272,MED,炒白牵牛子
273,MED,金箔
274,MED,北沙参
275,MED,干地黄
276,MED,枸杞子
277,MED,川楝子
278,MED,沙参
279,MED,麦冬
280,MED,地黄
281,MED,枸杞
282,MED,冰片
283,MED,藤黄
284,MED,蟾酥
285,MED,察香
286,MED,没药
287,MED,新绵
288,MED,槟榔
289,MED,川椒
290,MED,熊胆
291,MED,儿茶
292,MED,牛黄
293,MED,芙蓉叶
294,MED,黑牵牛子
295,MED,白牵牛子
296,MED,牵牛子
297,MED,朱砂
298,MED,党参
299,MED,穿山甲
300,MED,珍珠
301,MED,麟香草
302,MED,苏合油
303,MED,胆南星
304,MED,钩藤
305,MED,橘红
306,MED,当归尾
307,MED,生甘草
308,MED,桃仁泥
309,MED,皂角刺
310,MED,枳壳
311,MED,天花粉
312,MED,乌药
313,MED,赤芍药
314,MED,元明粉
315,MED,红花
316,MED,滴水珠
317,MED,绿茶
318,MED,糯米
319,MED,一箭球
320,MED,三角草
321,MED,三叶珠
322,MED,水百足
323,MED,水香附
324,MED,大枫子肉
325,MED,樟脑
326,MED,方解石
327,MED,锡灰
328,MED,黄丹
329,MED,青黛
330,MED,大枫子
331,MED,枯矶
332,MED,一号黄药
333,MED,大黄药
334,MED,紫花地丁
335,MED,蚤休
336,MED,山慈菇
337,MED,白术
338,MED,附子
339,MED,一枝黄花
340,MED,蛇头王
341,MED,黄花柴胡
342,MED,百条根
343,MED,满山黄
344,MED,柴胡
345,MED,黄茶
346,MED,陈皮
347,MED,草乌
348,MED,五灵脂
349,MED,地龙
350,MED,木鳖子仁
351,MED,锻细墨
352,MED,寮香
353,MED,沉香
354,MED,木香
355,MED,巴豆霜
356,MED,犀角
357,MED,砒帽
358,MED,防风
359,MED,腽肭脐
360,MED,蚕蛾
361,MED,鸦片
362,MED,京墨
363,MED,紫背浮萍
364,MED,炒草乌
365,MED,番木鳖
366,MED,麻黄
367,MED,天南星
368,MED,皂角子
369,MED,黄明胶
370,MED,全竭
371,MED,郁金
372,MED,白僵蚕
373,MED,炙甘草
374,MED,硼砂
375,MED,川续断
376,MED,泽兰
377,MED,苏木
378,MED,桃仁
379,MED,制乳香
380,MED,制没药
381,MED,人中白
382,MED,炒地龙
383,MED,黄荃
384,MED,知母
385,MED,盘龙参
386,MED,一叶一枝花
387,MED,荆芥
388,MED,白苋菜
389,MED,小胡麻
390,MED,苍耳子
391,MED,白花蛇
392,MED,苍术
393,MED,白附子
394,MED,桂枝
395,MED,秦芙
396,MED,威灵仙
397,MED,何首乌
398,MED,青碟石
399,MED,川乌
400,MED,桅子
401,MED,生白芍药
402,MED,牡砺
403,MED,锦地罗
404,MED,一朵芙蓉花
405,MED,瓜蒂
406,MED,独活
407,MED,生怀山药
408,MED,藿香梗
409,MED,厚朴
410,MED,茵陈
411,MED,获菩皮
412,MED,大腹皮
413,MED,神曲
414,MED,麦芽
415,DIS,小儿内热
416,DIS,痰雍气促
417,SYN,咳嗽喘急
418,SYM,胸满腹胀
419,SYM,不思饮食
420,PRE,一贯煎
421,LIT,续名医类案
422,DIS,肝肾阴虚
423,SYN,气滞不运
424,SYN,胸脱胁痛
425,SYM,吞酸吐苦
426,SYM,咽干口燥
427,SYM,舌红少津
428,SIG,脉细弱或虚弦
429,SYN,病气瘸聚
430,SYM,口苦燥
431,ACU,一扇门
432,LIT,小儿按摩经
433,DIS,小儿汗不出
434,DIS,热不退
435,DIS,急惊风
436,DIS,口眼歪斜
437,PRE,一笔勾
438,PRE,一笔消
439,DIS,肿毒
440,LIT,外科全生集
441,LIT,疡医大全
442,DIS,痈疖
443,PRE,一笑散
444,DIS,妇人血崩
445,DIS,周身疥癫
446,DIS,搔痒生疮
447,LIT,杂病源流犀烛·面部门
448,DIS,牙齿虫蚀痛
449,DIS,疮暨
450,LIT,外科活人定本
451,PRE,一凉散
452,SYM,赤面风初起
453,SYM,正面之上红肿而浮起
454,PRE,一绿散
455,LIT,证治准绳·类方
456,DIS,打扑伤损
457,DIS,眼胞赤肿疼痛
458,PRE,一捻金
459,PRE,小儿一捻金
460,LIT,医宗金鉴·幼科心法要诀
461,DIS,小儿风痰吐沫
462,DIS,气喘咳嗽
463,DIS,肚腹膨胀
464,LIT,证治准绳·类分
465,DIS,眼睛痛
466,LIT,中药制剂手册
467,DIS,便秘
468,DIS,痰盛
469,DIS,腹满
470,PRE,一粒珠
471,DIS,无名肿毒
472,DIS,对口搭手
473,DIS,痈疽发背
474,DIS,小儿惊风
475,DIS,痈疽疮疖
476,DIS,乳痈乳癌
477,SYM,肿毒红肿疼痛
478,LIT,珍本医书集成
479,ACU,一窝风
480,DIS,头痛
481,DIS,急慢惊风
482,LIT,小儿推拿广意·阴掌九穴疗病诀
483,PRE,一煎散
484,LIT,医宗金鉴·外科心法要诀
