
                              中医辞释,一坨牛屎. 4598条

刦具 刦具 吉贝之讹。“吉贝”，棉花。
刾　 刾　 即刺。
尩　 尩　 形体瘦弱。尩，音汪。
廻肠 廻肠 小肠的下段，上接空肠，下连大肠。
怢懔 怢懔 连绵词。寒热不能食的意思。
枔 枔 通“芩”。
泝 泝 音诉。形容毫毛竖起的样子。《素问·皮部论》：“邪之始入于皮也，泝然起毫毛，开腠理。”也连写，如“泝泝然”。
疛(zh6u) 疛(zh6u) 小腹痛．
阿是穴 阿是穴 又名天应穴、不定穴．穴位不在经络循行线上，而是“以痛为腧”，即那里痛那里就是针刺或施灸的穴位。
安谷 安谷 指病人食物入胃不吐，能正常饮食。
安神 安神 治疗心神不安的方法。引起心神不安的病因很多，要辨证施治。主要有重镇安神和养心安神两种治法。其它尚有补气安神、固气安神、清火安神、导痰安神、清胆安神、温胆安神，以及补益心脾和交通心肾等达到安神效果的治法。
安胎 安胎 出《经效产宝》。指对胎动不安，或素有流产史的妊娠妇女进行保胎，以预防流产的方法。
熬 熬 即灸。
八达 八达 即“八荒”。亦即“八方”。《素问·上古天真论》：“视听八达之外”。
八动 八动 八风的变动。见《素问·宝命全形论》。
八段锦 八段锦 ①外功功种之一。所谓“锦”，意思是如花似锦，形容这种功的美妙。动作可分为八段，故称八段锦。此外，还有“十二段锦。属于内功功种之一，见于《内功图说》(清王这《祖源著)。②小儿指纹名称之一。有鱼刺形、垂针形、水字形、乙字形、环形、珠形、乱纹形、虫纹形八种。故名。
八法 八法 一种药物治疗分类的方法。即：汗、吐、下、和、温、清、补、消。最早见于《内经》和《伤寒论》中，因其概括性较强，长期为中医临床所沿用。
八风 八风 大弱风、谋风、刚风、析风、大刚风、凶风、儿风、弱风。《灵枢·九宫八风》中也指天、地、日、月、春、夏、秋、冬，泛指人所生存的自然环境。
八风穴 八风穴 又称八冲。在足背侧五趾间两跖关节邻部的中央凹陷处，左右共八穴，故叫“八风穴”。
八纲 八纲 即阴阳，表里，寒热，虚实八个辨纲领。
八纲辩证 八纲辩证 中医判断疾病的基本方法。即将四诊中获得的感性材料加以综合归纳，找出其共性和个性，整理概括为阴阳、表里、寒热、虚实八个具有普遍性的类型，以判断疾病的属性、部位、轻重和个体的强弱，使治疗有纲可循。八纲中的阴阳两纲又可进而概括其它六纲。即表、热、实、为“阳”；里、虚、寒为“阴”。所以阴阳又是八纲中的总纲。
八候 八候 小儿惊风的八种症状：搐、搦、掣、颤、反、引、窜、视。
